city,neighbourhood,description,link,House No.,Area,Price_per_month,Number_of_rooms,Floor,No_of_floors,Build_year,Building_type,Heating_system,Equipment,energy_class,Nearest_kindergarten,Nearest_educational_institution,Nearest_shop,Public_transport_stop,Description,Additional premises,Additional Equipment,Security,Flat No.,Building Energy Efficiency Class,USEFUL
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Kalvarijų g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kalvariju-g-vieta-norintiems-gyventi-dirbti-vilniaus-4-1108185/,14,71.78 ,770 ,2,1,3,1940,Brick,Electric,Fully equipped,1 Class Good (1-3),230.0,310.0,170.0,80.0,,,,,,,
Vilnius,Pašilaičiai,"Vilnius, Pašilaičiai, Žemynos g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-zemynos-g-isnuomojamas-kapitaliai-suremontuotas-2k-4-1104837/,10,52.12 ,600 ,2,5,9,1987,Monolithic,Central,Fully equipped,1 Class Good (1-3),120.0,120.0,280.0,210.0,New sewage system New electrical installation Kitchen merged with room,Storeroom Balcony Cellar,Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower,Steel doors Code door lock,,,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Žemaitijos g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-zemaitijos-g-zemaitijos-g-randasi-paciame-vilniaus-4-1105405/,5,38 ,555 ,2,1,4,1860,Brick,Gas,Fully equipped,,90.0,240.0,90.0,120.0,Private entrance High ceiling Two-floor flat New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room,Parking space,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower,Steel doors,6,,
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Konstitucijos pr., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-konstitucijos-pr-isnuomojamas-naujutelis-butas-tower-name-4-1067297/,15,53.84 ,900 ,2,5,29,2019,Monolithic,"Electric, central thermostat",Fully equipped,1 Class Good (1-3),330.0,150.0,250.0,120.0,High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room,Storeroom,Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower,Steel doors Code door lock Video surveillance Guard,,A+,
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Savanorių pr., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-savanoriu-pr-isnuomojamas-2-kambariu-butas-su-vilniaus-4-1093623/,1,90 ,1 000 ,2,8,27,2007,Monolithic,"Central, central thermostat",Fully equipped,1 Class Good (1-3),240.0,180.0,460.0,80.0,High ceiling Separate bathroom and WC Internet Cable television Kitchen merged with room,Balcony,Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower,Steel doors Alarm system Code door lock Video surveillance Guard,,B,
Vilnius,Žirmūnai,"Vilnius, Žirmūnai, S. Žukausko g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-s-zukausko-g-gyvenamajame-name-lifto-nera-nuomos-sutartis-4-1108455/,33,45.95 ,500 ,2,5,5,2007,Brick,Central,Fully equipped,1 Class Good (1-3),150.0,200.0,270.0,280.0,Kitchen merged with room,Balcony Closet,Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower,Steel doors Alarm system Code door lock,20,,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Kauno g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-kauno-g-122-sqm-spacious-with-high-ceilings-4-1101497/,6,122 ,1 450 ,3,2,3,1940,Brick,Central,Fully equipped,1 Class Good (1-3),130.0,220.0,80.0,40.0,High ceiling New sewage system New electrical installation Private yard Internet Kitchen merged with room,Cellar Parking space Closet,Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Plastic pipes Dish washer Bath Recuperation,Steel doors Alarm system,,,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Žygimantų g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-zygimantu-g-last-2-apartments-for-september-april-4-1017813/,11,20 ,699 ,1,4,5,"1899 construction, 2020 renovation",Brick,"Central, electric",Fully equipped,1 Class Good (1-3),440.0,190.0,290.0,250.0,High ceiling New sewage system New electrical installation Internet Place of residence can be declared,Closet,Conditioner Washing machine Furniture Floor heating system Shower,Steel doors Video surveillance,,,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Naugarduko g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-naugarduko-g-jaukus-naujas-butas-naujame-pastate-vilniaus-4-982095/,2A,55 ,1 700 ,3,2,5,2019,Brick,Central,Fully equipped,,180.0,250.0,70.0,130.0,New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room,Balcony Parking space,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower,Steel doors Code door lock,,,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Universiteto g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-universiteto-g-jaukus-naujas-studio-butas-naujai-4-982131/,2,28 ,745 ,1,3,3,"1800 construction, 2019 renovation",Brick,Central,Fully equipped,1 Class Good (1-3),410.0,120.0,240.0,240.0,Flat in an attic New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room,,Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower,Steel doors Alarm system Code door lock,,,
